index,0,1,2,3,4,5,6,7,8,9,10
151,OPPA_ECOLI,0.69,0.8,0.48,0.5,0.46,0.57,0.26,0.16,0.79,pp
152,PNTB_ECOLI,0.81,0.52,0.48,0.5,0.57,0.78,0.8,0.05,0.04,imU
153,SERC_ECOLI,0.49,0.43,0.48,0.5,0.49,0.3,0.4,0.57,0.15,cp
154,CADB_ECOLI,0.83,0.48,0.48,0.5,0.65,0.76,0.79,0.42,0.19,imU
155,ACEK_ECOLI,0.56,0.4,0.48,0.5,0.49,0.37,0.46,0.19,0.05,cp
156,FRDD_ECOLI,0.64,0.58,0.48,0.5,0.48,0.78,0.73,0.7,0.6,im
157,HTRA_ECOLI,0.63,0.71,0.48,0.5,0.6,0.4,0.39,0.68,0.11,pp
158,SYGB_ECOLI,0.25,0.51,0.48,0.5,0.37,0.42,0.5,0.71,0.78,cp
159,LYSP_ECOLI,0.34,0.51,0.48,0.5,0.67,0.9,0.9,0.33,0.34,im
160,SECY_ECOLI,0.31,0.36,0.48,0.5,0.58,0.94,0.94,0.2,0.77,im
161,G3P1_ECOLI,0.38,0.46,0.48,0.5,0.48,0.22,0.29,0.05,0.45,cp
162,NUPG_ECOLI,0.64,0.45,0.48,0.5,0.67,0.61,0.66,0.58,0.5,imU
163,TYRB_ECOLI,0.36,0.42,0.48,0.5,0.53,0.32,0.41,0.93,0.26,cp
164,SOXS_ECOLI,0.32,0.33,0.48,0.5,0.6,0.06,0.2,0.16,0.46,cp
165,DSBB_ECOLI,0.5,0.66,0.48,0.5,0.31,0.92,0.92,0.38,0.57,im
166,OMPR_ECOLI,0.24,0.43,0.48,0.5,0.37,0.28,0.38,0.3,0.07,cp
167,CYDB_ECOLI,0.75,0.37,0.48,0.5,0.64,0.7,0.74,0.83,0.02,imU
168,FRDC_ECOLI,0.33,0.56,0.48,0.5,0.33,0.78,0.8,0.21,0.17,im
169,CHEZ_ECOLI,0.41,0.57,0.48,0.5,0.39,0.21,0.32,0.25,0.01,cp
170,RHAR_ECOLI,0.51,0.46,0.48,0.5,0.58,0.31,0.41,0.4,0.16,cp
171,CYSE_ECOLI,0.25,0.4,0.48,0.5,0.47,0.33,0.42,0.94,0.43,cp
172,EFTS_ECOLI,0.24,0.35,0.48,0.5,0.31,0.19,0.31,0.26,0.26,cp
173,LACY_ECOLI,0.71,0.4,0.48,0.5,0.71,0.7,0.74,0.89,0.45,im
174,OMPF_ECOLI,0.75,0.76,0.48,0.5,0.83,0.57,0.3,0.14,0.5,om
175,FHUE_ECOLI,0.6,0.76,1,0.5,0.77,0.59,0.52,0.27,0.73,om
176,ASG1_ECOLI,0.42,0.24,0.48,0.5,0.57,0.27,0.37,0.23,0.15,cp
177,TNAB_ECOLI,0.68,0.51,0.48,0.5,0.71,0.75,0.78,0.86,0.48,im
178,MCP1_ECOLI,0.86,0.39,0.48,0.5,0.59,0.89,0.9,0.83,0.08,imU
179,LGT_ECOLI,0.5,0.37,0.48,0.5,0.66,0.64,0.69,0.11,0.05,im
180,RIMI_ECOLI,0.24,0.57,0.48,0.5,0.63,0.34,0.43,0.7,0.37,cp
181,NIRD_ECOLI,0.44,0.42,0.48,0.5,0.42,0.25,0.2,0.31,0.66,cp
182,CYPC_ECOLI,0.36,0.39,0.48,0.5,0.48,0.22,0.23,0.17,0.46,cp
183,NFRB_ECOLI,0.63,0.49,0.48,0.5,0.54,0.76,0.79,0.33,0.53,imS
184,DLDH_ECOLI,0.56,0.51,0.48,0.5,0.34,0.37,0.46,0.48,0.4,cp
185,DHSC_ECOLI,0.48,0.45,0.48,0.5,0.6,0.78,0.8,0.68,0.23,im
186,CAIB_ECOLI,0.51,0.5,0.48,0.5,0.46,0.32,0.35,0.54,0.14,cp
187,CAIT_ECOLI,0.69,0.43,0.48,0.5,0.59,0.74,0.77,0.94,0.34,imU
188,CYOA_ECOLI,0.7,0.39,1,0.5,0.51,0.82,0.84,0.07,0.48,imL
189,DPPA_ECOLI,0.57,0.59,0.48,0.5,0.39,0.47,0.33,0.67,0.33,pp
190,TESA_ECOLI,0.69,0.66,0.48,0.5,0.41,0.5,0.25,0.94,0.45,pp
191,TOLB_ECOLI,0.69,0.65,0.48,0.5,0.63,0.48,0.41,0.64,0.58,pp
192,NRFF_ECOLI,0.7,0.71,0.48,0.5,0.42,0.84,0.85,0.71,0.67,pp
193,SYK1_ECOLI,0.24,0.41,0.48,0.5,0.49,0.23,0.34,0.96,0.38,cp
194,LEU3_ECOLI,0.4,0.35,0.48,0.5,0.45,0.33,0.42,0.26,0.48,cp
195,UGPB_ECOLI,0.71,0.57,0.48,0.5,0.48,0.35,0.32,0.04,0.56,pp
196,CYOE_ECOLI,0.67,0.37,0.48,0.5,0.54,0.64,0.68,0.62,0.67,imU
197,FTSL_ECOLI,0.36,0.45,0.48,0.5,0.38,0.79,0.17,0.87,0.09,im
198,METC_ECOLI,0.24,0.43,0.48,0.5,0.54,0.52,0.59,0.78,0.37,cp
199,TSX_ECOLI,0.68,0.76,0.48,0.5,0.84,0.45,0.27,0.17,0.47,om
200,PTWX_ECOLI,0.65,0.55,0.48,0.5,0.34,0.37,0.28,0.67,0.29,cp
201,MALQ_ECOLI,0.52,0.36,0.48,0.5,0.41,0.28,0.38,0.03,0.63,cp
202,METK_ECOLI,0.25,0.37,0.48,0.5,0.41,0.33,0.42,0.82,0.47,cp
203,MULI_ECOLI,0.77,0.57,1,0.5,0.37,0.54,0.01,0.79,0.35,omL
204,PTAA_ECOLI,0.59,0.56,0.48,0.5,0.55,0.8,0.82,0.89,0.08,im
205,GSHR_ECOLI,0.44,0.35,0.48,0.5,0.55,0.55,0.61,0.49,0.55,cp
206,RHAS_ECOLI,0.38,0.4,0.48,0.5,0.63,0.25,0.35,0.84,0.1,cp
207,USPA_ECOLI,0.4,0.41,0.48,0.5,0.55,0.22,0.33,0.33,0.18,cp
208,LSPA_ECOLI,0.83,0.37,0.48,0.5,0.61,0.71,0.74,0.18,0.78,im
209,NADA_ECOLI,0.26,0.26,0.48,0.5,0.34,0.25,0.35,0.98,0.4,cp
210,LIVK_ECOLI,0.68,0.78,0.48,0.5,0.43,0.44,0.42,0.4,0.25,pp
211,DCP_ECOLI,0.43,0.37,0.48,0.5,0.53,0.35,0.44,0.64,0.39,cp
212,CYOB_ECOLI,0.59,0.29,0.48,0.5,0.64,0.75,0.77,0.72,0.64,imU
213,OTC1_ECOLI,0.42,0.3,0.48,0.5,0.48,0.26,0.36,0.62,0.08,cp
214,SYW_ECOLI,0.39,0.31,0.48,0.5,0.38,0.34,0.43,0.53,0.02,cp
215,CIRA_ECOLI,0.65,0.51,0.48,0.5,0.66,0.54,0.33,0.17,0.22,om
216,XYLF_ECOLI,0.59,0.61,0.48,0.5,0.42,0.42,0.37,0.5,0.33,pp
217,DPPC_ECOLI,0.48,0.41,0.48,0.5,0.51,0.9,0.88,0.97,0.36,im
218,MALF_ECOLI,0.63,0.54,0.48,0.5,0.65,0.79,0.81,0.47,0.14,im
219,MALE_ECOLI,0.64,0.84,0.48,0.5,0.37,0.45,0.4,0.02,0.18,pp
220,KEFC_ECOLI,0.63,0.42,0.48,0.5,0.48,0.77,0.8,0.19,0.51,imU
221,TREA_ECOLI,0.74,0.56,0.48,0.5,0.47,0.68,0.3,0.18,0.66,pp
222,CRL_ECOLI,0.4,0.45,0.48,0.5,0.38,0.22,0,0.63,0.15,cp
223,PTHB_ECOLI,0.36,0.47,0.48,0.5,0.51,0.69,0.72,0.98,0.5,im
224,MOTB_ECOLI,0.3,0.51,0.48,0.5,0.42,0.61,0.34,0.27,0.06,im
225,PTCB_ECOLI,0.53,0.42,0.48,0.5,0.16,0.29,0.39,0.63,0.26,cp
226,ILVY_ECOLI,0.23,0.58,0.48,0.5,0.37,0.53,0.59,0.81,0.77,cp
227,AMY1_ECOLI,0.7,0.61,0.48,0.5,0.56,0.52,0.43,0.19,0.34,pp
228,TOLQ_ECOLI,0.63,0.75,0.48,0.5,0.64,0.73,0.66,0.57,0.43,im
229,AAT_ECOLI,0.49,0.29,0.48,0.5,0.56,0.24,0.35,0.19,0.2,cp
230,SYH_ECOLI,0.29,0.28,0.48,0.5,0.5,0.42,0.5,0.06,0.51,cp
231,CFA_ECOLI,0.22,0.43,0.48,0.5,0.48,0.16,0.28,0.34,0.18,cp
232,POTE_ECOLI,0.63,0.65,0.48,0.5,0.66,0.67,0.71,0.56,0.62,im
233,PHOB_ECOLI,0.41,0.43,0.48,0.5,0.45,0.31,0.41,0.94,0.09,cp
234,ARAC_ECOLI,0.42,0.4,0.48,0.5,0.56,0.18,0.3,0.3,0.13,cp
235,LNT_ECOLI,0.6,0.61,0.48,0.5,0.54,0.67,0.71,0.63,0.48,im
236,XYLA_ECOLI,0.16,0.43,0.48,0.5,0.54,0.27,0.37,0.07,0.66,cp
237,ARAH_ECOLI,0.34,0.49,0.48,0.5,0.58,0.85,0.8,0.78,0.73,im
238,G3P2_ECOLI,0.33,0.45,0.48,0.5,0.52,0.32,0.41,0.44,0.35,cp
239,OSMY_ECOLI,0.64,0.66,0.48,0.5,0.41,0.39,0.2,0.25,0.22,pp
240,UHPB_ECOLI,0.79,0.54,0.48,0.5,0.5,0.66,0.68,0.93,0.53,imU
241,NHAR_ECOLI,0.37,0.5,0.48,0.5,0.42,0.36,0.45,0.98,0.12,cp
242,SYL_ECOLI,0.04,0.31,0.48,0.5,0.41,0.29,0.39,0.91,0.08,cp
243,PHOR_ECOLI,0.61,0.52,0.48,0.5,0.54,0.67,0.52,0.57,0.38,im
244,SLYD_ECOLI,0.47,0.28,0.48,0.5,0.56,0.2,0.25,0.35,0.25,cp
245,NMPC_ECOLI,0.67,0.84,0.48,0.5,0.74,0.54,0.37,0.96,0.01,om
246,SYC_ECOLI,0.35,0.34,0.48,0.5,0.46,0.3,0.27,0.5,0.37,cp
247,THIK_ECOLI,0.17,0.52,0.48,0.5,0.49,0.37,0.46,0.86,0.48,cp
248,RHAT_ECOLI,0.49,0.61,1,0.5,0.56,0.71,0.74,0.9,0.23,imU
249,PPA_ECOLI,0.69,0.59,0.48,0.5,0.46,0.44,0.52,0.11,0.37,pp
250,OMPT_ECOLI,0.63,0.49,0.48,0.5,0.79,0.45,0.28,0.39,0.52,om
251,SYT_ECOLI,0.37,0.44,0.48,0.5,0.42,0.39,0.47,0.12,0.11,cp
252,GLNA_ECOLI,0.28,0.38,0.48,0.5,0.5,0.33,0.42,0.95,0.79,cp
253,ATKC_ECOLI,0.85,0.53,0.48,0.5,0.53,0.52,0.35,0,0.42,imS
254,PTFB_ECOLI,0.37,0.47,0.48,0.5,0.39,0.76,0.79,0.15,0.76,im
255,GLPT_ECOLI,0.31,0.5,0.48,0.5,0.57,0.84,0.85,0.48,0.56,im
256,DCTA_ECOLI,0.73,0.36,0.48,0.5,0.53,0.91,0.92,0.86,0.36,im
257,USHA_ECOLI,0.61,0.6,0.48,0.5,0.44,0.39,0.38,0.18,0.05,pp
258,UVRB_ECOLI,0.22,0.34,0.48,0.5,0.42,0.29,0.39,0.24,0.34,cp
259,MELB_ECOLI,0.47,0.46,0.48,0.5,0.62,0.74,0.77,0.74,0.34,imU
260,ENO_ECOLI,0.29,0.52,0.48,0.5,0.42,0.29,0.39,0.31,0.63,cp
261,FTSH_ECOLI,0.81,0.44,0.48,0.5,0.42,0.67,0.68,0.1,0.35,imU
262,EXBD_ECOLI,0.46,0.59,0.48,0.5,0.36,0.76,0.23,0.25,0.02,im
263,RIMJ_ECOLI,0.38,0.26,0.48,0.5,0.54,0.16,0.28,0.91,0.8,cp
264,FEPB_ECOLI,0.7,0.64,0.48,0.5,0.47,0.51,0.47,0.41,0.12,pp
265,PTNA_ECOLI,0.35,0.37,0.48,0.5,0.3,0.34,0.43,0.27,0.69,cp
266,ATKB_ECOLI,0.46,0.61,0.48,0.5,0.48,0.86,0.87,0.14,0.73,im
267,DSBC_ECOLI,0.66,0.74,0.48,0.5,0.31,0.38,0.43,0.79,0.58,pp
268,ENVZ_ECOLI,0.72,0.46,0.48,0.5,0.51,0.66,0.7,0.87,0.23,im
269,DAPD_ECOLI,0.21,0.51,0.48,0.5,0.5,0.32,0.41,0.49,0.07,cp
270,MODA_ECOLI,0.63,0.65,0.48,0.5,0.39,0.44,0.35,0.85,0.25,pp
271,ASG2_ECOLI,0.73,0.78,0.48,0.5,0.58,0.51,0.31,0.69,0.51,pp
272,CYOC_ECOLI,0.12,0.67,0.48,0.5,0.74,0.58,0.63,0.07,0.76,im
273,CYOD_ECOLI,0.4,0.5,0.48,0.5,0.65,0.82,0.84,0.89,0.05,im
274,FADL_ECOLI,0.78,0.68,0.48,0.5,0.83,0.4,0.29,0.16,0.51,om
275,OMPP_ECOLI,0.69,0.59,0.48,0.5,0.77,0.39,0.21,0.6,0.1,om
276,PROX_ECOLI,0.64,0.78,0.48,0.5,0.5,0.36,0.38,0.11,0.7,pp
277,TYRP_ECOLI,0.86,0.55,0.48,0.5,0.63,0.81,0.83,0.46,0.49,imU
278,SECG_ECOLI,0.84,0.54,0.48,0.5,0.75,0.92,0.7,0.69,0.02,imU
279,GLYA_ECOLI,0.17,0.38,0.48,0.5,0.45,0.42,0.5,0.45,0.26,cp
280,CYPB_ECOLI,0.3,0.16,0.48,0.5,0.56,0.11,0.23,0.7,0.01,cp
281,BETT_ECOLI,0.52,0.39,0.48,0.5,0.65,0.71,0.73,0.65,0.28,im
282,POTF_ECOLI,0.66,0.71,0.48,0.5,0.41,0.5,0.35,0.09,0.71,pp
283,ECPD_ECOLI,0.64,0.72,0.48,0.5,0.49,0.42,0.19,0.2,0.02,pp
284,PTFA_ECOLI,0.34,0.46,0.48,0.5,0.52,0.35,0.44,0.47,0.64,cp
285,PT1A_ECOLI,0.5,0.49,0.48,0.5,0.49,0.46,0.53,0.2,0.25,cp
286,CHEA_ECOLI,0.25,0.4,0.48,0.5,0.46,0.44,0.52,0.97,0.72,cp
287,YCEE_ECOLI,0.52,0.54,0.48,0.5,0.62,0.76,0.79,0.39,0.36,im
288,GCVA_ECOLI,0.4,0.5,0.48,0.5,0.45,0.39,0.47,0.33,0.42,cp
289,NFRA_ECOLI,0.61,0.75,0.48,0.5,0.51,0.33,0.33,0.41,0.69,om
290,MALZ_ECOLI,0.36,0.41,0.48,0.5,0.48,0.47,0.54,0.13,0.14,cp
291,ARAE_ECOLI,0.23,0.48,0.48,0.5,0.59,0.88,0.89,0.63,0.04,im
292,RND_ECOLI,0.44,0.49,0.48,0.5,0.39,0.38,0.4,0.17,0.52,cp
293,FECR_ECOLI,0.32,0.39,0.48,0.5,0.53,0.28,0.38,0.83,0.55,pp
294,EMRA_ECOLI,0.06,0.61,0.48,0.5,0.49,0.92,0.37,0.06,0.69,im
295,TONB_ECOLI,0.57,0.38,0.48,0.5,0.06,0.49,0.33,0.24,0.25,imU
296,TBPA_ECOLI,0.56,0.54,0.48,0.5,0.43,0.37,0.3,0.71,0.37,pp
297,METR_ECOLI,0.52,0.57,0.48,0.5,0.42,0.47,0.54,0.86,0.1,cp
298,KGTP_ECOLI,0.45,0.4,0.48,0.5,0.61,0.74,0.77,0.12,0.24,im
299,UGPQ_ECOLI,0.26,0.4,0.48,0.5,0.36,0.26,0.37,0.88,0.52,cp
